GRAM	c2h2	chi_tot
1197	31	2.69633E+03
1197	30	2.69638E+03
1197	32	2.69639E+03
1197	29	2.69652E+03
1197	33	2.69657E+03
1087	31	2.69658E+03
1087	30	2.69662E+03
1087	32	2.69664E+03
977	31	2.69675E+03
1197	28	2.69675E+03
1087	29	2.69677E+03
977	30	2.69679E+03
977	32	2.69681E+03
1087	33	2.69682E+03
1197	34	2.69689E+03
977	29	2.69694E+03
977	33	2.69699E+03
1087	28	2.69700E+03
1197	27	2.69706E+03
1087	34	2.69714E+03
977	28	2.69717E+03
1087	27	2.69730E+03
977	34	2.69731E+03
1197	35	2.69736E+03
1197	26	2.69744E+03
977	27	2.69747E+03
1087	35	2.69761E+03
1087	26	2.69768E+03
977	35	2.69778E+03
977	26	2.69785E+03
1197	25	2.69787E+03
1197	36	2.69799E+03
1087	25	2.69811E+03
1087	36	2.69825E+03
977	25	2.69828E+03
1197	24	2.69834E+03
977	36	2.69841E+03
1087	24	2.69858E+03
1197	574	2.69863E+03
1197	533	2.69868E+03
1197	575	2.69869E+03
1197	492	2.69874E+03
977	24	2.69875E+03
1197	534	2.69876E+03
1197	576	2.69878E+03
1197	451	2.69881E+03
1197	37	2.69881E+03
1197	23	2.69883E+03
1197	493	2.69884E+03
1087	574	2.69884E+03
1197	0	2.69886E+03
1197	535	2.69886E+03
1197	410	2.69888E+03
1197	577	2.69888E+03
1087	533	2.69890E+03
1087	575	2.69891E+03
1197	452	2.69892E+03
1197	41	2.69895E+03
1197	369	2.69895E+03
1087	492	2.69895E+03
1197	494	2.69896E+03
1087	534	2.69897E+03
1087	576	2.69899E+03
1197	536	2.69899E+03
1197	1	2.69899E+03
1197	82	2.69901E+03
1197	411	2.69902E+03
1197	578	2.69902E+03
1087	451	2.69902E+03
977	574	2.69902E+03
1197	328	2.69902E+03
1087	493	2.69905E+03
1197	123	2.69907E+03
1087	23	2.69907E+03
1087	37	2.69907E+03
1197	453	2.69907E+03
977	533	2.69907E+03
1087	535	2.69907E+03
1087	0	2.69908E+03
1197	287	2.69908E+03
977	575	2.69908E+03
1087	410	2.69909E+03
1087	577	2.69909E+03
1197	42	2.69910E+03
1197	370	2.69911E+03
1197	164	2.69911E+03
1197	495	2.69912E+03
1197	246	2.69912E+03
977	492	2.69913E+03
1197	205	2.69914E+03
1087	452	2.69914E+03
977	534	2.69915E+03
