GRAM	c2h2	chi_tot
7444	537	1.00814E+02
7444	445	1.00817E+02
7444	581	1.00823E+02
7444	582	1.00824E+02
7444	444	1.00828E+02
7444	404	1.00828E+02
7444	538	1.00830E+02
7444	623	1.00832E+02
7444	536	1.00834E+02
7444	403	1.00835E+02
7444	446	1.00844E+02
7444	352	1.00844E+02
7444	622	1.00847E+02
7444	351	1.00854E+02
7444	580	1.00855E+02
7444	664	1.00856E+02
7444	405	1.00858E+02
7444	624	1.00859E+02
7444	665	1.00861E+02
7444	353	1.00865E+02
7444	443	1.00865E+02
7444	310	1.00866E+02
7444	402	1.00867E+02
7444	311	1.00869E+02
7444	583	1.00875E+02
7444	535	1.00878E+02
7444	706	1.00880E+02
7444	260	1.00884E+02
7444	350	1.00885E+02
7444	309	1.00885E+02
7444	663	1.00886E+02
7444	259	1.00886E+02
7444	621	1.00890E+02
7444	123	1.00892E+02
7444	210	1.00892E+02
7444	705	1.00894E+02
7444	122	1.00895E+02
7444	211	1.00899E+02
7444	209	1.00900E+02
7444	124	1.00900E+02
7444	539	1.00900E+02
7444	312	1.00901E+02
7444	261	1.00904E+02
7444	258	1.00904E+02
7444	121	1.00906E+02
7444	579	1.00907E+02
7444	707	1.00908E+02
7444	82	1.00911E+02
7444	83	1.00911E+02
7444	747	1.00915E+02
7444	401	1.00915E+02
7444	81	1.00916E+02
7444	666	1.00917E+02
7444	208	1.00918E+02
7444	442	1.00918E+02
7444	308	1.00918E+02
7444	748	1.00919E+02
7444	84	1.00920E+02
7444	125	1.00922E+02
7444	120	1.00924E+02
7444	212	1.00925E+02
7444	447	1.00925E+02
7444	80	1.00926E+02
7444	354	1.00927E+02
7444	349	1.00930E+02
7444	257	1.00933E+02
7444	704	1.00935E+02
7444	662	1.00936E+02
7444	85	1.00937E+02
7444	534	1.00937E+02
7444	406	1.00937E+02
7444	79	1.00940E+02
7444	207	1.00943E+02
7444	746	1.00944E+02
7444	119	1.00946E+02
7444	625	1.00947E+02
7444	620	1.00948E+02
7444	789	1.00948E+02
7444	262	1.00952E+02
7444	78	1.00956E+02
7444	307	1.00962E+02
7444	788	1.00963E+02
7444	126	1.00963E+02
7444	86	1.00965E+02
7444	118	1.00970E+02
7444	578	1.00970E+02
7444	256	1.00970E+02
7444	313	1.00972E+02
7444	400	1.00973E+02
7444	749	1.00973E+02
7444	206	1.00973E+02
7444	790	1.00973E+02
7444	77	1.00973E+02
7444	213	1.00977E+02
7444	441	1.00980E+02
7444	348	1.00983E+02
7444	703	1.00991E+02
7444	76	1.00992E+02
7444	745	1.00992E+02
7444	584	1.00993E+02
7444	117	1.00995E+02
7444	708	1.00997E+02
7444	661	1.00998E+02
7444	787	1.01001E+02
7444	533	1.01002E+02
7444	205	1.01006E+02
7444	87	1.01008E+02
7444	75	1.01010E+02
7444	306	1.01011E+02
7444	255	1.01012E+02
7444	619	1.01013E+02
7444	116	1.01022E+02
7444	127	1.01028E+02
7444	74	1.01028E+02
7444	399	1.01034E+02
7444	577	1.01037E+02
7444	347	1.01040E+02
7444	263	1.01040E+02
7444	204	1.01042E+02
7444	540	1.01043E+02
7444	440	1.01044E+02
7444	73	1.01045E+02
7444	355	1.01046E+02
7444	667	1.01047E+02
7444	115	1.01048E+02
7444	744	1.01050E+02
7444	786	1.01053E+02
7444	702	1.01053E+02
7444	791	1.01055E+02
7444	254	1.01056E+02
7444	72	1.01061E+02
7444	305	1.01063E+02
7444	660	1.01063E+02
7444	214	1.01064E+02
7444	532	1.01069E+02
7444	88	1.01069E+02
7444	71	1.01075E+02
7444	114	1.01075E+02
7444	203	1.01079E+02
7444	618	1.01080E+02
7444	448	1.01080E+02
7444	407	1.01085E+02
7444	70	1.01087E+02
7444	398	1.01095E+02
7444	314	1.01097E+02
7444	346	1.01097E+02
7444	750	1.01098E+02
7444	69	1.01099E+02
7444	113	1.01102E+02
7444	253	1.01102E+02
7444	576	1.01103E+02
7444	439	1.01108E+02
7444	785	1.01110E+02
7444	68	1.01110E+02
7444	743	1.01111E+02
7444	304	1.01115E+02
7444	701	1.01116E+02
7444	202	1.01117E+02
7444	626	1.01119E+02
7444	67	1.01121E+02
7444	128	1.01123E+02
7444	659	1.01127E+02
7444	112	1.01129E+02
7444	531	1.01132E+02
