GRAM	c2h2	chi_tot
977	0	6.18594E+03
977	143	6.18597E+03
977	474	6.18600E+03
977	515	6.18602E+03
977	41	6.18602E+03
977	1	6.18605E+03
977	92	6.18605E+03
977	184	6.18609E+03
977	144	6.18609E+03
977	382	6.18611E+03
977	236	6.18612E+03
977	475	6.18614E+03
977	288	6.18614E+03
977	516	6.18616E+03
977	42	6.18616E+03
977	2	6.18617E+03
977	93	6.18620E+03
977	145	6.18624E+03
977	185	6.18625E+03
977	383	6.18627E+03
977	237	6.18629E+03
977	476	6.18630E+03
977	289	6.18631E+03
977	3	6.18632E+03
977	43	6.18634E+03
977	517	6.18634E+03
977	94	6.18639E+03
977	146	6.18641E+03
977	186	6.18645E+03
977	384	6.18648E+03
977	4	6.18649E+03
977	238	6.18650E+03
977	477	6.18650E+03
977	290	6.18653E+03
977	44	6.18655E+03
977	518	6.18656E+03
977	147	6.18662E+03
977	95	6.18662E+03
977	5	6.18668E+03
977	187	6.18670E+03
977	385	6.18674E+03
977	478	6.18674E+03
977	239	6.18676E+03
977	291	6.18680E+03
977	45	6.18682E+03
977	519	6.18685E+03
977	148	6.18686E+03
977	6	6.18689E+03
977	96	6.18690E+03
977	188	6.18701E+03
977	479	6.18704E+03
977	386	6.18707E+03
977	240	6.18709E+03
977	7	6.18713E+03
977	292	6.18713E+03
977	149	6.18714E+03
977	46	6.18714E+03
977	520	6.18720E+03
977	97	6.18726E+03
977	8	6.18739E+03
977	189	6.18739E+03
977	480	6.18739E+03
977	150	6.18745E+03
977	387	6.18748E+03
977	241	6.18750E+03
977	47	6.18753E+03
977	293	6.18756E+03
977	521	6.18765E+03
977	9	6.18766E+03
977	98	6.18769E+03
977	774	6.18778E+03
977	151	6.18780E+03
977	481	6.18781E+03
977	190	6.18786E+03
977	10	6.18796E+03
977	388	6.18799E+03
977	242	6.18800E+03
977	48	6.18801E+03
977	294	6.18808E+03
977	152	6.18819E+03
977	522	6.18820E+03
977	99	6.18821E+03
977	733	6.18822E+03
977	11	6.18826E+03
977	482	6.18829E+03
977	775	6.18838E+03
977	191	6.18843E+03
977	49	6.18857E+03
977	12	6.18858E+03
977	153	6.18861E+03
977	243	6.18862E+03
977	389	6.18863E+03
977	692	6.18870E+03
977	295	6.18873E+03
977	100	6.18885E+03
977	483	6.18885E+03
977	13	6.18890E+03
977	523	6.18890E+03
977	734	6.18892E+03
977	154	6.18907E+03
977	776	6.18912E+03
977	192	6.18914E+03
977	651	6.18922E+03
977	14	6.18923E+03
977	50	6.18924E+03
977	244	6.18939E+03
977	390	6.18943E+03
977	484	6.18949E+03
977	693	6.18952E+03
977	296	6.18953E+03
977	155	6.18955E+03
977	15	6.18956E+03
977	101	6.18961E+03
977	524	6.18977E+03
977	610	6.18977E+03
977	735	6.18980E+03
977	16	6.18990E+03
977	193	6.18999E+03
977	51	6.19003E+03
977	156	6.19005E+03
977	777	6.19006E+03
977	652	6.19018E+03
977	485	6.19020E+03
977	17	6.19025E+03
977	245	6.19032E+03
977	569	6.19033E+03
977	391	6.19042E+03
977	102	6.19051E+03
977	297	6.19052E+03
977	694	6.19056E+03
977	157	6.19058E+03
977	18	6.19060E+03
977	525	6.19086E+03
977	611	6.19087E+03
977	736	6.19091E+03
977	52	6.19092E+03
977	19	6.19097E+03
977	486	6.19098E+03
977	194	6.19102E+03
977	158	6.19112E+03
977	778	6.19123E+03
977	433	6.19131E+03
977	20	6.19134E+03
977	653	6.19137E+03
977	246	6.19146E+03
977	570	6.19156E+03
977	103	6.19157E+03
977	392	6.19164E+03
977	159	6.19168E+03
977	21	6.19172E+03
977	298	6.19173E+03
977	340	6.19180E+03
977	487	6.19183E+03
977	695	6.19185E+03
977	53	6.19194E+03
977	22	6.19209E+03
977	526	6.19221E+03
977	612	6.19223E+03
977	195	6.19224E+03
977	160	6.19225E+03
977	737	6.19229E+03
977	23	6.19246E+03
977	779	6.19268E+03
977	488	6.19273E+03
977	434	6.19277E+03
977	104	6.19280E+03
977	247	6.19282E+03
977	24	6.19283E+03
977	161	6.19283E+03
977	654	6.19286E+03
977	54	6.19308E+03
977	571	6.19308E+03
977	393	6.19316E+03
977	25	6.19319E+03
977	299	6.19321E+03
977	341	6.19332E+03
977	162	6.19343E+03
977	696	6.19346E+03
977	26	6.19355E+03
977	489	6.19367E+03
977	196	6.19368E+03
977	527	6.19388E+03
977	27	6.19390E+03
977	613	6.19392E+03
977	738	6.19401E+03
977	163	6.19403E+03
977	105	6.19420E+03
977	28	6.19425E+03
977	55	6.19432E+03
977	248	6.19446E+03
977	780	6.19450E+03
977	435	6.19456E+03
977	29	6.19461E+03
977	164	6.19464E+03
977	490	6.19465E+03
977	655	6.19472E+03
977	30	6.19497E+03
977	572	6.19498E+03
977	300	6.19499E+03
977	394	6.19502E+03
977	342	6.19518E+03
977	165	6.19526E+03
977	31	6.19534E+03
977	197	6.19535E+03
977	697	6.19546E+03
977	491	6.19566E+03
977	56	6.19566E+03
977	32	6.19573E+03
977	106	6.19577E+03
977	166	6.19589E+03
977	528	6.19595E+03
977	614	6.19602E+03
977	33	6.19612E+03
977	739	6.19614E+03
977	249	6.19639E+03
977	167	6.19651E+03
977	34	6.19654E+03
977	492	6.19668E+03
977	781	6.19676E+03
977	436	6.19676E+03
977	35	6.19697E+03
977	656	6.19702E+03
977	57	6.19708E+03
977	301	6.19712E+03
977	168	6.19713E+03
977	198	6.19727E+03
977	395	6.19728E+03
977	573	6.19732E+03
977	36	6.19741E+03
977	343	6.19742E+03
977	107	6.19752E+03
977	493	6.19770E+03
977	169	6.19775E+03
977	37	6.19786E+03
977	698	6.19794E+03
977	38	6.19831E+03
977	170	6.19837E+03
977	529	6.19850E+03
977	58	6.19858E+03
977	615	6.19862E+03
977	250	6.19864E+03
977	494	6.19872E+03
977	39	6.19876E+03
977	740	6.19879E+03
977	171	6.19899E+03
977	40	6.19920E+03
977	108	6.19943E+03
977	199	6.19945E+03
977	437	6.19945E+03
977	782	6.19955E+03
977	172	6.19962E+03
977	302	6.19965E+03
977	495	6.19974E+03
977	657	6.19986E+03
977	396	6.20004E+03
977	344	6.20013E+03
977	59	6.20014E+03
977	574	6.20020E+03
977	173	6.20025E+03
977	496	6.20074E+03
977	174	6.20089E+03
977	699	6.20101E+03
977	251	6.20125E+03
977	109	6.20149E+03
977	175	6.20152E+03
977	530	6.20162E+03
977	497	6.20174E+03
977	60	6.20175E+03
977	616	6.20182E+03
977	200	6.20189E+03
977	741	6.20206E+03
977	176	6.20216E+03
977	303	6.20262E+03
977	438	6.20273E+03
977	498	6.20273E+03
977	177	6.20279E+03
977	783	6.20300E+03
